Severity,LO,Sub-outcome,Where,Category,Quote,Issue,Fix direction,Note
medium,15,15b,MISCONCEPTIONS,F: Accuracy doubt,"""wrong"": ""Non-compliance is an organisational risk.""","The 'wrong' statement is true; the right answer only adds individual liability, so the item teaches a false contrast.",Reword to 'only an organisational risk',Check against APM BoK 8 before changing
medium,15,15a,The reflective practitioner: learning from experience,G: Language,Note all four sources of learning in that list.,"The preceding list gives three items (went well, went badly, unresolved); the four sources named in the insight never appear clearly in the study text.",List the four sources explicitly,
medium,15,15b,The duty to speak up: reporting wrongdoing,G: Language,What organisations must provide: ... legal protection for people reporting suspected wrongdoing exists in many countries,"Lead-in says what organisations must provide, but two of the three bullets describe legal protection, which organisations do not provide.",Split organisational duties from legal protection,
medium,16,16b,Configuration management: the five steps,A: Non-study content,The syllabus names these explicitly... The worked example is how a construction project's technical designs get updated and issued,Syllabus commentary plus reference to a 'worked example' that does not exist in the material.,Remove provenance; describe the example,
medium,16,16a,WHERE_THIS_FITS,B: Exam advice in study text,LO16 opens the delivery half of the course ... The distinction the exam most wants: success criteria and benefits,Course-structure meta and an unsupported exam claim in the learner intro.,Remove meta and exam claim,
medium,16,16a,Requirements management: the four-step process,B: Exam advice in study text,"The syllabus phrases this as gather, analysis, justifying requirements and baseline needs. Those are the same four steps under different labels.","Syllabus commentary in study text, and the mapping is loose ('baseline needs' matches step 3, not step 4).",Move mapping to insight and correct it,
medium,16,16a,Success criteria vs benefits: two different things,F: Accuracy doubt,| Example | An office building is refurbished |,"Given as a success-criteria example but it is an output; success criteria are measures (e.g. on time, to budget, to spec).",Give a measurable criterion,Check against APM BoK 8 before changing
medium,16,16a,Success criteria vs benefits: two different things,G: Language,'As far as possible' is doing real work there.,Quotes a phrase that does not appear; the bullet says 'so far as one is available'.,Match the quoted wording,
medium,16,16a,Requirement reviews: when they happen,G: Language,they have to be brought into line with the configuration management and change management processes,'Change management' is used where change control is meant; in APM these are different disciplines (repeated in 16b).,Use 'change control',
medium,16,16b,Requirement changes: governance applies,H: Structure,As covered in 16a: a changed or newly-arrived requirement has to be run through configuration management and change management,Section restates 16a content almost verbatim and adds little.,Merge or cut,
medium,17,17a,Framing: it determines what options exist,A: Non-study content,"The single most useful idea in LO17, best learned through APM's own example:",Meta-commentary about the LO and the source instead of a study lead-in.,Replace with a neutral lead-in to the table,
medium,17,17a,Linear vs iterative: how scope is defined,B: Exam advice in study text,This is the distinction the exam wants.,Exam advice sitting in the study text.,Remove or move to an insight,
medium,17,17a,insight lo17-tip-options-phase,C: Insight problem,That is a strong scenario answer.,"Insight opens with 'That', pointing at study text the separate card cannot see, and largely restates the governance point.",Make the insight self-contained,
medium,17,17a,insight lo17-tip-stopping-rule,C: Insight problem,Stop when the next increment costs more than it returns. That is the phrase worth memorising,Duplicates the stopping rule already stated in the table and the preceding sentence.,Replace with a genuine exam tip or drop,
medium,17,17a,Scope: turning the solution into it,D: Subheading,Scope: turning the solution into it,Subheading reads awkwardly; 'it' has no clear referent.,"Rename, e.g. 'Scope: defining in and out'",
medium,17,17a,Breakdown structures: the four to know,F: Accuracy doubt,"Combining the WBS and OBS produces the responsibility assignment matrix, which is the LO2 link.","The RAM (OBS used to create a RACI) is syllabus LO21b, not LO2 (governance arrangements).",Correct cross-reference to LO21 or drop it,Check against APM BoK 8 before changing
medium,17,17a,Solutions development: the six-component process / insight lo17-tip-governance-layer,F: Accuracy doubt,| 4. Governance framework | Wraps the whole process.,Table numbers governance as step 4 in the sequence while the text and insight say it wraps the process rather than sitting in the sequence.,"Present governance as an overarching layer, not a numbered step",Check against APM BoK 8 before changing
medium,17,17a,ACTIVITIES lineup 'Put the process back in the order it runs',F: Accuracy doubt,"""Assess and approve changes"", ""Sign off ahead of handover""","Lineup omits the governance framework and adds sign-off, so it does not match the six components taught.",Align activity items with the six components,Check against APM BoK 8 before changing
medium,17,17a,KEY_DEFINITIONS Scope creep,F: Accuracy doubt,The risk mitigated by being clear about what is in scope and what is out of scope.,The 'apm_definition' does not define scope creep; it describes its mitigation.,Give an actual definition (uncontrolled growth of scope),Check against APM BoK 8 before changing
medium,18,18a,The quality plan: what it documents,A: Non-study content,"A high-yield list, because it is concrete:",Exam-cramming jargon instead of a study lead-in.,Neutral lead-in,
medium,18,18a,Quality planning: what it determines,B: Exam advice in study text,"Five things, and this list answers 18a directly:",Syllabus/answer commentary in study text; also a fragment lead-in.,Neutral lead-in to the table,
medium,18,18a,Quality indicators: how they relate to the business case,B: Exam advice in study text,"The syllabus asks specifically how quality indicators relate to the business case, and APM answers it in one line:",Syllabus and provenance commentary in study text.,State the relationship directly,
medium,18,18b,Non-conformance: deciding what to do,B: Exam advice in study text,The reasoning to show in an answer:,Exam advice in study text.,Rephrase as study content,
medium,18,18a,insight lo18-tip-quality-is-led,C: Insight problem,That framing matters for scenario answers: quality is not delegated to a quality function. It is led.,Orphan 'That' and restates the one-line study text; not a distinct exam insight.,Make self-contained or drop,
medium,18,18a,insight lo18-tip-cost-of-quality,C: Insight problem,That second point is the more examinable one.,"Ambiguous reference: the preceding text has several 'second' points (Upwards, before further planning).",Name the point explicitly,
medium,18,18b,insight lo18-tip-one-line,C: Insight problem,"If you can only remember one line about this LO, make it that one. QA builds it in, QC catches what got through",Duplicates the study-text line immediately above; 'that one' is orphaned.,Replace with a distinct exam tip,
medium,18,18b,insight lo18-tip-witnessing,C: Insight problem,That last one is the mark-earner.,Orphan reference to a list the card does not show.,Name independent witnessing explicitly,
medium,18,18b,insight lo18-tip-18b-wording,C: Insight problem,"This is the exact wording of 18b, so worth answering it directly as a chain","Claim is false (the subheading paraphrases 18b), orphan 'This', and the sentence is a fragment.",Rewrite as a self-contained tip,
medium,19,19a,The PMP: typical contents,B: Exam advice in study text,That list is the answer to 19a's 'typical contents'.,Syllabus/answer meta and course commentary in study text.,State the container idea without syllabus/course talk,
medium,19,19a,Integrated planning: how the life cycle changes it,B: Exam advice in study text,APM's point about linear is worth quoting in a scenario:,Exam advice in study text; the point is then repeated in the insight and again in 'The honest framing'.,Keep the study point once; move tip to insight,
medium,19,19b,Integrated planning: the core argument,B: Exam advice in study text,That single sentence answers 19b. Everything below expands it.,Syllabus/answer meta in study text.,Delete,
medium,19,19b,Not integrating: the consequence,B: Exam advice in study text,it is a better scenario answer than a general appeal to good practice.,Exam advice in study text.,Move to insight,
medium,19,19b,"The first integrated plan: why it is hard, and what makes it possible",B: Exam advice in study text,Acknowledging the difficulty is part of a good answer,Exam advice in study text.,Remove,
medium,19,19b,The honest framing: two things to hold together,B: Exam advice in study text,"Two things to hold together, because scenario questions often set them against each other:",Exam advice in study text; the section repeats the 'plan will change' point for the third time.,Remove exam talk and merge with earlier point,
medium,19,19b,insight lo19-tip-consequence,C: Insight problem,"However, reach for the four APM gives: the project stops, it replans, it costs more, and the benefits arrive later.",Illogical 'However' and duplicates the study text above it.,Rewrite as a distinct self-contained tip,
medium,19,19b,"The first integrated plan: why it is hard, and what makes it possible",D: Subheading,"The first integrated plan: why it is hard, and what makes it possible",Duplicates 'The initial PMP: three things that make it possible' in 19a with the same three techniques.,Merge the two sections,
medium,19,19a,Dependency management: how activities relate,F: Accuracy doubt,The three link types in scheduling: finish-to-start,"Omits start-to-finish; contradicts LO20, which lists four link types.",Say 'three common link types' or list all four,Check against APM BoK 8 before changing
medium,19,19a,Risk identification: describing risks clearly,F: Accuracy doubt,"address group bias, which is the LO12 link","Bias is syllabus LO14c (conscious and unconscious bias), not LO12 leadership.",Correct to LO14 or drop,Check against APM BoK 8 before changing
medium,19,19a,WORKED EXAMPLES Preferential / soft,F: Accuracy doubt,"Reassign the review. This is a preferential dependency, a should not rather than a cannot, so it can be moved","Reassigning the reviewer keeps the peer review, so no dependency is removed and no quality control is traded; the answer contradicts itself.","Make the answer consistent (reassign, or consciously waive the review)",Check against APM BoK 8 before changing
medium,19,19a,The PMP: format,G: Language,'Succinctly' is doing real work there.,"Refers to the word 'succinctly', which does not appear in the preceding sentence; the insight lo19-tip-format has the same broken reference.",Use the word in the text or drop the reference,
medium,20,20c,ACTIVITIES notes,A: Non-study content,Shortened from the table so each card is one idea rather than a paragraph.,Drafting notes about activity design visible to learners (also 'Six of the eight. Enough to retrieve without turning into a scan.').,Delete the notes,
medium,20,20a,WHERE_THIS_FITS,B: Exam advice in study text,"Learn to calculate float by hand, because it is the one piece of arithmetic in this LO that gets tested directly.","Exam advice in the intro, with an unsupported claim about what the exam tests.",Remove or soften exam claim,
medium,20,20b,Critical path analysis: a worked example,B: Exam advice in study text,"This is the arithmetic the exam can test. The example below is illustrative, using the standard method.",Exam talk and provenance commentary in study text.,Neutral lead-in,
medium,20,20b,Schedule drivers: what else shapes it,B: Exam advice in study text,"This is the specific point of 20b, and the syllabus names the factors:",Syllabus commentary in study text.,Neutral lead-in,
medium,20,20c,Schedule optimisation: meeting a constraint,B: Exam advice in study text,"This is the most common practical error, and a good scenario answer names it.",Exam advice in study text.,Move to insight,
medium,20,20c,Schedule optimisation: meeting a constraint,F: Accuracy doubt,driving A → B → D → F → G below 15 weeks would make both other paths critical,"Other paths become critical at 15 weeks, not below; and A and G are common to all paths, so further compression need not touch all three separately.",Say 'to 15 weeks' and note shared activities,Check against APM BoK 8 before changing
medium,20,20b,WORKED EXAMPLES What gets monitored,F: Accuracy doubt,"60% of the buffer consumed and 30% of the chain complete, but every task is inside its start and end dates.","Buffer is consumed only when chain tasks overrun their estimates, so every task being on its dates contradicts 60% consumption.",Make scenario internally consistent,Check against APM BoK 8 before changing
medium,20,20b,Why critical chain exists,F: Accuracy doubt,"beginning work the moment its earliest start arrives, then holding the time until it is done",Starting at the earliest start is not a problem behaviour; the targeted behaviours are starting late (student syndrome) and work expanding to fill time.,Restate the behaviour accurately,Check against APM BoK 8 before changing
medium,20,20b,Schedule drivers: what else shapes it,G: Language,Both approaches require input from technical and BAU stakeholders,'Both approaches' has no antecedent in this section (critical path and critical chain were in a prior section); sentence then adds 'direct answer to 20b' exam talk.,Name the approaches; drop the 20b remark,
medium,20,20c,Progress monitoring: what tells you to re-estimate,G: Language,"while the people doing the work are best placed to track it, though plenty of organisations hand it to the PMO","Confusing sentence assigning the same monitoring to the PM and team, the workers, and the PMO.",Clarify who monitors,
medium,21,21d,Levelling and smoothing: the two techniques,A: Non-study content,"APM frames them exactly this way, and the questions are more reliable than any rule of thumb.",Provenance and meta-commentary in study text.,Remove the aside,
medium,21,intro,WHERE_THIS_FITS,B: Exam advice in study text,"The distinction the exam tests hardest is levelling versus smoothing, and APM frames it slightly differently from the way it is commonly taught elsewhere",Intro carries exam advice and provenance talk about how other sources teach the topic.,Move the exam emphasis to an insight and drop the comparison with other teaching,
medium,21,21a,Resource timing: how the life cycle changes it,B: Exam advice in study text,A specific and examinable point:,Exam advice in study text.,Delete; the insight already covers it,
medium,21,21b,RACI coding: showing roles,B: Exam advice in study text,"The distinction that carries the marks: R does it, A owns it and signs it off.",Exam advice sitting in study text.,"Keep the teaching, move the marks framing to the insight",
medium,21,21d,Levelling and smoothing: what each involves,B: Exam advice in study text,That second half is the more interesting one for a scenario answer.,Exam advice in study text.,Move to the insight or delete,
medium,21,21c,insight lo21-tip-iterative-continuity,C: Insight problem,"A specialist released for four weeks on an iterative project is a question about the approach, not the diary.",Insight restates the study-text sentence directly above it.,Replace with a distinct exam tip or cut,
medium,21,21a,insight lo21-tip-demand-exceeds,F: Accuracy doubt,escalating for more is the answer that loses marks,Contradicts 21d text calling portfolio prioritisation 'the escalation route'; giving decision-makers ranked options is itself escalation.,"Reword so escalation with prioritisation data is the right answer, not a wrong one",Check against APM BoK 8 before changing
medium,21,21d,Levelling and smoothing: what each involves,G: Language,Smoothing is more than adding people. It is not simply a matter of hiring more people:,Same point stated twice in consecutive sentences.,Keep one sentence,
medium,22,22b,Cost control: what it does,A: Non-study content,That is a useful rule because it is specific.,Writer's aside commenting on the text.,Delete,
medium,22,22b,Iterative life cycles: easier to control,A: Non-study content,That is the honest counterweight from the financial reporting section,Provenance talk pointing to a source section learners have not seen.,Remove the source reference,
medium,22,intro,WHERE_THIS_FITS,B: Exam advice in study text,which is exactly why it gets examined,Exam framing and course meta ('the only tool in the course') in the intro.,Drop the exam claim,
medium,22,22a,Budgeting and cost control: where budgeting sits,B: Exam advice in study text,That ordering matters and is worth stating in an answer,Exam advice in study text; the insight below says the same.,Remove from study text,
medium,22,22b,Iterative life cycles: easier to control,B: Exam advice in study text,an answer that says only one of them is half an answer,Exam advice in study text; the insight below repeats it.,Keep in the insight only,
medium,22,22a,Cost behaviour: the distinctions to know,D: Subheading,Then there are the behavioural distinctions the syllabus names:,"Only fixed/variable is cost behaviour, and the syllabus names fixed, variable, direct, indirect, not one-off/recurring or capital/revenue; the syllabus cost types sit under this heading while 'Cost types' holds resource categories.",Retitle and drop the syllabus claim,
medium,22,22c,Financial reports: what they contain,E: Relevance / coverage gap,Good governance needs good information. Reports combine three things:,"The lesson maps only 22a and 22b; syllabus outcomes 22c (monitor and report financial performance, including types of financial reports) and 22d (financial closedown) are not listed as sub-outcomes, and types of financial report are not named, although reporting and closedown sections exist under 22b.","Add the report types (e.g. cost/budget status, cash flow, variance, forecast, EV reports)",
medium,22,intro,WHERE_THIS_FITS,F: Accuracy doubt,Learn the four base measures and the four derived ones,"The derived-measures table has five (CV, SV, CPI, SPI, EAC).",Make the count match,Check against APM BoK 8 before changing
medium,22,22a,Budgeting and cost control: where budgeting sits,F: Accuracy doubt,The first two are 22a; the third is 22b; the fourth closes the LO.,"Outcome-code meta text, and the mapping is wrong: tracking/reporting is 22c, closedown is 22d.",Remove the outcome mapping,Check against APM BoK 8 before changing
medium,22,22a,Cost behaviour: the distinctions to know,F: Accuracy doubt,"| Capital vs revenue | How each is treated follows the organisation's accounting rules, and capital spend is tightly controlled","Never states what capital and revenue costs are, so the distinction is not taught.",Define capital (long-term assets) versus revenue (operating) spend,Check against APM BoK 8 before changing
medium,23,23a,Risk and issue management: the benefits,A: Non-study content,Direct answer to 23a:,Outcome-code meta lead-in.,Remove,
medium,23,23a,Risk and issue management: the benefits,A: Non-study content,| A more robust deployment baseline and PMP | Stated directly as the result |,"Table cells 'Stated directly as the result' and 'Named explicitly' are provenance notes, not explanations.",Explain how each benefit arises,
medium,23,23b,Issue management: the process,A: Non-study content,'Analysis takes place quickly' is stated for issues and not for risks,Quotes and compares the source text rather than teaching.,State that issues must be analysed quickly and why,
medium,23,23d,Tolerances: the mechanism,A: Non-study content,That sentence carries the whole sub-outcome.,Meta-commentary about the text and outcome structure.,Remove,
medium,23,23b,insight lo23-tip-two-barriers,C: Insight problem,Naming either barrier in a scenario answer is worth more than reciting the process steps.,Unsupported mark claim with no actionable tip.,Give a concrete way to spot and use the barriers,
medium,23,23a,Risk vs issue management: the two disciplines,G: Language,They are related but not the same.,'They' follows a paragraph on issues versus problems but means risks and issues.,Name risks and issues,
medium,23,23b,Risk management: the process,G: Language,"It cycles rather than concludes, because project work itself keeps moving. Not a stage you complete.",Unclear referent ('It') and orphan fragment; reads as if describing monitoring.,Say the process is cyclical in one clear sentence,
medium,24,24a,Change control: the six stages,A: Non-study content,"This is where the real work is, and 24c covers it","'Why it matters' cells for stages 3 and 5 are outcome-code pointers, not reasons; repeated in the pairup activity.",State the reason each stage matters,
medium,24,24c,Impact assessment: the sequence,A: Non-study content,The worked example being which technology best suits a software solution,Provenance fragment referring to a source example the learner never sees.,Give the example as a plain 'for example',
medium,24,24e,Partial updating: why it fails,A: Non-study content,"That phrase, *the integrated nature of projects*, is the whole argument for 24e.","Refers to a phrase that does not appear in the text, plus outcome meta.",State the integration argument directly,
medium,24,24e,Unrecoverable change: what happens next,A: Non-study content,That is the honest closing note for the syllabus.,Meta-commentary about the course.,Delete,
medium,24,24a,Life cycle differences: where the stages vary,B: Exam advice in study text,The syllabus asks about this specifically.,Exam/syllabus advice in study text; the insight repeats it.,Remove from study text,
medium,24,24c,Impact areas: the eight to assess,B: Exam advice in study text,This is the directly examinable list,Exam advice in study text.,Remove,
medium,24,syllabus,SYLLABUS list,E: Relevance / coverage gap,24e) Understand the importance of updating plans and schedules to reflect approved changes.,"Misquotes the handbook, which says 'to reflect and communicate changes'.",Quote the handbook wording,
medium,24,24a,Change control: the six stages,F: Accuracy doubt,"| 4. Decision | The sponsor gets the options, a recommendation, or both.",The syllabus stage is 'recommendation' (handbook sample tests a 'recommendation stage'); the material never names it as a stage.,Name stage 4 recommendation (and decision) in line with the syllabus,Check against APM BoK 8 before changing
medium,24,24a,Life cycle differences / worked example,F: Accuracy doubt,The team may have authority to prioritise and act on new knowledge within the timebox,Conflicts with the worked example requiring a formal change request to swap a story within the current timebox.,Reconcile team authority with the example,Check against APM BoK 8 before changing
medium,24,24d,insight lo24-tip-defer,F: Accuracy doubt,answering approve or reject throws the mark away,"Contradicts the later insight that approve, reject and defer can each be defended on the same scenario.",Align the two insights,Check against APM BoK 8 before changing
low,1,intro,WHERE_THIS_FITS,A: Non-study content,Get life cycles solid here and you are part-way through four other learning objectives.,"Motivational filler about course structure, not study content.",Remove,
low,1,1c,Project approach: the four factors that set it,A: Non-study content,The pattern worth memorising:,Study-advice lead-in in the study text.,Use a neutral lead-in,
low,1,1a,insight lo1-tip-three-reasons,C: Insight problem,The syllabus asks for this in so many words,"Overstates the syllabus: 1a asks why projects are phased, it does not name the three reasons.",Drop the claim about the syllabus wording,
low,1,1b,insight lo1-tip-timing,C: Insight problem,This one is directly examinable and easy to miss.,"Vague claim, and the rest of the card repeats the study text above it.",Give a concrete exam angle or merge into the text,
low,1,1c,insight lo1-tip-four-factors,C: Insight problem,Naming the factor earns more than naming the life cycle.,Claims a marking rule that the handbook does not support.,Rephrase as justifying the choice from the factors,
low,1,1c,insight lo1-tip-type-four,C: Insight problem,"Type 4 is the exam-useful row, because it hands you a concrete reason you can point at in a scenario answer.","Singling out one row as the exam row is arbitrary, and the text above already makes the point.",Make it a genuine tip or remove,
low,1,1b,Benefits measurement: how it actually happens,F: Accuracy doubt,"activities and resources for transition into use, testing schedules, acceptance criteria, quality assurance thresholds.","These are transition and acceptance planning items, not the content of benefits planning.","List benefits planning items such as measures, owners and timing",Check against APM BoK 8 before changing
low,1,1b,worked example: Extending the life cycle,F: Accuracy doubt,"Essentially, eight weeks of project time is cheaper than a system nobody logs into.",Eight weeks appears from nowhere; the situation gives no extension length.,State the extension length in the situation or remove the figure,Check against APM BoK 8 before changing
low,1,1c,Organisational culture: the unwritten rules,F: Accuracy doubt,"| Market (outward/stable) | Results-orientated, competitive, focused on profit and market share | Creates rivalry between project teams |",The Life cycle implication column for Market (and Clan) gives no implication for the choice of life cycle.,State what each culture implies for the life cycle,Check against APM BoK 8 before changing
low,1,1a,Life cycle approaches: only two at the top level,G: Language,There are only two at the top level. Everything else blends them.,The first sentence repeats the subheading word for word.,"Open with content, not a restatement of the heading",
low,1,1a,"Linear: the phases, and the control they buy",G: Language,"Gateways are what they create, and a gateway is where milestones, governance and reviews live. No gateway, nowhere to put the decision.",Inverted and verbless phrasing that reads awkwardly.,Say phase boundaries create gateways where decisions are taken,
low,1,1c,"Adapting the life cycle: normal, not a planning failure",G: Language,"Adaptation is normal, not a planning failure.","Repeats the subheading, and the next bullet repeats the 1a sentence about phasing and naming word for word.",Remove the repeats,
low,1,1d,insight lo1-tip-state-the-cost,G: Language,"However, most answers give three strengths and no limitation",'However' contradicts nothing in the previous sentence.,Drop the connector,
low,2,2c,Governance mechanisms: why each one exists,A: Non-study content,"Six mechanisms, and each one is there for a reason you should be able to state.",Study-advice framing in the study text.,Use a neutral lead-in,
low,2,2a,Governance: what it is actually for / insight lo2-tip-two-halves,C: Insight problem,Carry the one-line version in with you as well: governance decides who gets to decide what.,The insight repeats a line already given in the intro and the study text.,Remove the duplicate line from the insight,
low,2,2a,insight lo2-tip-approach-gap,C: Insight problem,log the mismatch as a risk rather than arguing the organisation should change.,Restates the study paragraph directly above it.,Add a distinct exam angle or merge,
low,2,2b,Governance roles: the ones the syllabus names,D: Subheading,Governance roles: the ones the syllabus names,"The heading refers to the syllabus, not the content, and the table adds the sponsor, whom the syllabus role list does not include.","Retitle by content, for example Project roles and responsibilities",
low,2,2b,worked example: Sponsor vs project manager,G: Language,Replacing them adds £180k and six weeks to a £900k programme.,"Calls a project a programme, which is a distinct APM term, in an example about the project manager.",Say project,
low,3,3b,insight lo3-tip-self-declared,C: Insight problem,"Someone runs their own assessment in-house, then quotes it externally. That is the weakness to name, every time.","Vague and fragmentary. 'Every time' also clashes with the text, which says in-house assessments still have value.",State the credibility point precisely,
low,3,3b,insight lo3-tip-materiality-answer,C: Insight problem,"High on both axes is what you act on, and that is the sentence that earns the mark.",Repeats the only substantive sentence of a three-sentence section.,Merge or give a distinct tip,
low,3,3b,insight lo3-tip-role-list,C: Insight problem,"Learn these six as actions, not as knowledge.",Vague study advice rather than an exam insight.,Replace with a concrete exam angle,
low,3,3a,Sustainability frameworks: the ones to be able to name,F: Accuracy doubt,"hold warming under 2°C against pre-industrial levels, with 1.5°C as the target.",Paris commits to well below 2°C while pursuing efforts to limit warming to 1.5°C; '1.5°C as the target' overstates it.,Use the agreement's wording,Check against APM BoK 8 before changing
low,3,3b,Materiality: how the assessment actually works / KEY_DEFINITIONS Materiality,F: Accuracy doubt,The threshold of importance to both project viability and organisational impact,The definition's axes differ from the text's axes (importance to stakeholders against business impact).,Align the definition and the text,Check against APM BoK 8 before changing
low,3,3b,activity: Put the six actions in the order you would do them,F: Accuracy doubt,Put the six actions in the order you would do them,"The study text gives the role actions as an unordered list, and some (coordinating stakeholders, continuous improvement) run throughout, so a fixed order is not supported.",Make it a recall or match activity,Check against APM BoK 8 before changing
low,3,3a,Sustainability benefits: the nine arguments,G: Language,"Expectations are now proactively secured, not merely managed",Unclear phrasing; it does not say what securing expectations means.,Say plainly what the benefit is,
low,3,3a,MISCONCEPTIONS (unambitious brief),G: Language,Where the brief is not ambitious enough the team should be challenged to do better,Reverses who challenges; the study text says the team challenges the brief.,Say the team should challenge the brief,
low,3,3a,KEY_DEFINITIONS Natural capital approach,H: Structure,Natural capital approach,The study text never uses or explains this defined term.,Teach it in the concept row or remove it,
low,4,4a,Investment appraisal: how the economic case gets tested,A: Non-study content,One governance point worth carrying:,Study-advice lead-in in the study text.,Use a neutral lead-in,
low,4,4b,Undermining events: what can knock a business case off course,A: Non-study content,"Five events come up again and again, and each one hits the case in a different place.","An exam-frequency style aside, not study content.",Use a neutral lead-in,
low,4,4a,insights lo4-tip-swot / lo4-tip-vuca / lo4-tip-pestle,C: Insight problem,"Spelling: SWOT, not SWAT. Four letters, four boxes.","Spelling notes ('VUCA, not VOCA', PESTEL/STEEPLE variants) are trivia or extra study content, not exam insights.",Cut the spelling and variant notes,
low,4,4b,insight lo4-tip-triggers,C: Insight problem,Technological advances is the most examinable of the five.,Unsupported claim that repeats the study text's point about technology.,Remove the claim,
low,4,4b,insight lo4-tip-pause,C: Insight problem,"However, the hard-edged point here, and what separates a strong answer from an average one, is naming the competition for resources",The card opens with an orphan 'However' and repeats the study paragraph above it.,Drop the connector and the duplication,
low,4,intro,WHERE_THIS_FITS,F: Accuracy doubt,"The business case is the project's licence to exist, and the only document that can withdraw it.",Misleading: decision makers withdraw approval; a document does not.,Say governance can withdraw approval based on it,Check against APM BoK 8 before changing
low,4,4a,VUCA: naming the conditions you are planning under,G: Language,Coined by the US military to describe an increasingly vulnerable and unpredictable world.,Sentence fragment with no subject.,"Add a subject, for example 'The term was coined'",
low,5,5a,Procurement strategy: why it comes first,A: Non-study content,APM makes a specific warning here.,Provenance aside in study text.,state the point directly,
low,5,5a,Building the strategy: three steps,A: Non-study content,That last one is the one people forget.,Writer's aside about learners inside study text; duplicates the insight that follows.,remove or move to insight,
low,5,5a,Procurement strategy: what it produces,A: Non-study content,which ties straight back to LO2.,Needless cross-reference to another LO in study text.,remove cross-reference,
low,5,5c,Reimbursement methods: two further ones the syllabus names,A: Non-study content,"That is why APM places it in its contracting-strategy chart alongside longer-term, more collaborative arrangements.",Provenance reference to an unseen chart; 'the one to understand properly' is also a study-tip aside.,state the collaborative link directly,
low,5,5b,insight lo5-tip-fairness,C: Insight problem,"All three rules score separately, so write all three.",Asserts a marking scheme the handbook does not state.,phrase as advice without invented mark allocation,
low,5,5a,Procurement strategy: why it comes first,D: Subheading,Procurement strategy: why it comes first,"Section mainly defines procurement and lists the seven process stages (the diagram), so the heading only fits its last paragraph.",retitle to cover the process overview,
low,5,5a,Sourcing trade-offs: the judgement calls,F: Accuracy doubt,Shaving a little off the price counts for less than a supplier who already understands how the organisation works,"Row labelled as a tension states one side as the answer, which misrepresents a trade-off.",describe both sides of the trade-off,Check against APM BoK 8 before changing
low,5,5c,Reimbursement methods: two further ones the syllabus names,F: Accuracy doubt,"per cubic metre excavated, per licence, per day","A per-day rate is a time-based (time and materials) rate, not a quantity of work delivered.",use a true unit-of-output example,Check against APM BoK 8 before changing
low,5,5b,Supplier selection: the sequence,G: Language,"The simplified five-step version worth memorising: requirements, criteria, bids, evaluation, winner.","Fragment with study-tip wording; a second five-step list beside the five-stage table invites confusion, and the insight repeats it.",explain how the two lists relate or drop one,
low,5,5a,Building the strategy: three steps,H: Structure,### The five make-or-buy criteria,"Heading is not in SUBHEADING format, unlike every other section heading, so it may render inconsistently.",make it a proper subheading or table caption,
low,6,6a,"Reviews: what they are, and the distinction that matters",A: Non-study content,"Lock this distinction in now, because LO7 depends on it:",Course-structure meta commentary used as a table lead-in.,introduce the table neutrally,
low,6,6b,Raw data: why it beats interpretation,A: Non-study content,A specific and easily-missed point:,Writer's aside in study text.,state the point directly,
low,6,6b,Tolerances / Audience / Reporting frequency,A: Non-study content,That is the link back to LO4,"Needless cross-LO references recur in study text (also 'connects directly to LO10', 'Proportionality again, exactly as in governance').",remove cross-references,
low,6,6a,insight lo6-tip-benefits,C: Insight problem,"You will not hold six under time pressure, so hold three",Advising learners to memorise only half the list is weak exam guidance.,give a genuine tip without cutting content,
low,6,6b,insight lo6-tip-core-four,C: Insight problem,That four-part list is the backbone of any 6b answer,Orphan reference to a list not shown as such in the section (its table has three parts); claims the response 'carries the marks'.,make self-contained and drop invented marking claims,
low,6,6d,insight lo6-tip-iterative-replan,C: Insight problem,and the marks go to whoever says which.,Invented marking claim.,drop the claim,
low,6,6a,worked example: Iterative reviews,F: Accuracy doubt,a shared environment bottleneck is exactly its subject,"The text defines WIP reviews as the format that identifies and resolves bottlenecks, so the single answer 'retrospective' is ambiguous.",acknowledge WIP review or change the scenario,Check against APM BoK 8 before changing
low,6,6a,MISCONCEPTIONS,F: Accuracy doubt,Iterative reviews are more frequent and less formal,The correction largely confirms the 'lighter reviews' misconception it is meant to rebut.,make the correction clearly contrast,Check against APM BoK 8 before changing
low,6,6a,worked example: Gate questions,G: Language,Phase 2 of a 3 million pound records system,Currency written as words here but as £ elsewhere.,use £ consistently,
low,6,6b,Wider reporting: what else reviews cover,G: Language,"Beyond the core four, reviews and gate reviews also examine:",'Core four' is never defined in the study text; the preceding section is titled 'core set' and its table has three elements.,name the four items explicitly,
low,6,6c,Decisions and actions: communicating them,G: Language,"And once governance approves the responses coming out of a review, the team implements them",Repeats the 6d re-planning sequence almost word for word.,remove the duplicate,
low,6,6d,Re-planning: the principle,G: Language,So re-planning is not a sign the review found a problem; it is the review working.,Illogical: re-planning usually does follow a problem found; the intended point is that it is not a failure.,rephrase as 'not a sign of failure',
low,6,6d,Stopping: re-planning can mean terminating,G: Language,"Re-planning includes pausing, replanning or terminating the work",Circular: re-planning is said to include replanning.,reword,
low,7,7a,Review vs assurance: the distinction that matters most,A: Non-study content,That is why the two LOs interlock.,Course-structure meta commentary.,remove,
